GoogleYaw, -0.948332 GooglePitch, -0.0228709 GoogleRoll, 0.0117162
pack:0 ax, -7.49611 ay, -8.29625 az, 11.5368
GoogleYaw, -0.948332 GooglePitch, -0.0228709 GoogleRoll, 0.0117162
pack:0 ax, -7.49611 ay, -8.29625 az, 11.5368
GoogleYaw, -0.911602 GooglePitch, -0.0221321 GoogleRoll, 0.0161095
pack:0 ax, 2.31816 ay, 1.53468 az, 9.7587
GoogleYaw, -0.911602 GooglePitch, -0.0221321 GoogleRoll, 0.0161095
pack:0 ax, 2.31816 ay, 1.53468 az, 9.7587
GoogleYaw, -0.907633 GooglePitch, -0.0166445 GoogleRoll, 0.0223895
pack:0 ax, 2.31816 ay, 1.53468 az, 9.7587
GoogleYaw, -0.907633 GooglePitch, -0.0166445 GoogleRoll, 0.0223895
pack:0 ax, 2.31816 ay, 1.53468 az, 9.7587
GoogleYaw, -0.907633 GooglePitch, -0.0166445 GoogleRoll, 0.0223895
pack:0 ax, 0.561447 ay, 1.03004 az, 9.99911
GoogleYaw, -0.918229 GooglePitch, -0.0172095 GoogleRoll, 0.0205849
pack:0 ax, 0.19249 ay, -0.145859 az, 9.6373
GoogleYaw, -0.918229 GooglePitch, -0.0172095 GoogleRoll, 0.0205849
pack:0 ax, 0.19249 ay, -0.145859 az, 9.6373
GoogleYaw, -0.918229 GooglePitch, -0.0172095 GoogleRoll, 0.0205849
pack:0 ax, 0.19249 ay, -0.145859 az, 9.6373
GoogleYaw, -0.922627 GooglePitch, -0.016573 GoogleRoll, 0.0238986
pack:0 ax, 0.699509 ay, 1.15144 az, 13.9743
GoogleYaw, -0.922627 GooglePitch, -0.016573 GoogleRoll, 0.0238986
pack:0 ax, 0.699509 ay, 1.15144 az, 13.9743
GoogleYaw, -0.922627 GooglePitch, -0.016573 GoogleRoll, 0.0238986
pack:0 ax, 0.699509 ay, 1.15144 az, 13.9743
GoogleYaw, -0.923924 GooglePitch, -0.0127713 GoogleRoll, 0.0296151
pack:0 ax, 0.699509 ay, 1.15144 az, 13.9743
GoogleYaw, -0.923924 GooglePitch, -0.0127713 GoogleRoll, 0.0296151
pack:0 ax, 0.135361 ay, 0.61348 az, 11.3535
GoogleYaw, -0.923924 GooglePitch, -0.0127713 GoogleRoll, 0.0296151
pack:0 ax, 0.135361 ay, 0.61348 az, 11.3535
GoogleYaw, -0.923924 GooglePitch, -0.0127713 GoogleRoll, 0.0296151
pack:0 ax, 0.135361 ay, 0.61348 az, 11.3535
GoogleYaw, -0.923924 GooglePitch, -0.0127713 GoogleRoll, 0.0296151
pack:0 ax, 0.135361 ay, 0.61348 az, 11.3535
GoogleYaw, -0.922235 GooglePitch, -0.00946129 GoogleRoll, 0.0516526
pack:0 ax, -0.907242 ay, 0.603958 az, 10.6728
GoogleYaw, -0.922235 GooglePitch, -0.00946129 GoogleRoll, 0.0516526
pack:0 ax, -0.907242 ay, 0.603958 az, 10.6728
GoogleYaw, -0.917739 GooglePitch, -0.00701614 GoogleRoll, 0.0954363
pack:0 ax, -0.907242 ay, 0.603958 az, 10.6728
GoogleYaw, -0.917739 GooglePitch, -0.00701614 GoogleRoll, 0.0954363
pack:0 ax, -0.907242 ay, 0.603958 az, 10.6728
GoogleYaw, -0.917739 GooglePitch, -0.00701614 GoogleRoll, 0.0954363
pack:0 ax, -1.13338 ay, 0.537308 az, 9.46829
GoogleYaw, -0.917739 GooglePitch, -0.00701614 GoogleRoll, 0.0954363
pack:0 ax, -1.13338 ay, 0.537308 az, 9.46829
